date_time,region,count
2015-06-25 02:15:00,Nord-Pas-de-Calais,1
2015-06-25 02:15:00,Pays de la Loire,1
2015-06-25 02:15:16,le-de-France,1
2015-06-25 02:15:21,Bretagne,1
2015-06-25 02:15:21,Nord-Pas-de-Calais,1
2015-06-25 02:16:00,le-de-France,3
2015-06-25 02:17:00,le-de-France,1
2015-06-25 02:17:00,Centre-Val de Loire,2
2015-06-25 02:19:00,Nord-Pas-de-Calais,1
2015-06-25 02:20:00,Bretagne,2
2015-06-25 02:20:00,Nord-Pas-de-Calais,4
2015-06-25 02:20:00,Pays de la Loire,3
2015-06-25 02:24:00,Nord-Pas-de-Calais,2
2015-06-25 02:25:00,Pays de la Loire,1
2015-06-25 02:29:00,Nord-Pas-de-Calais,1
2015-06-25 02:30:00,Basse-Normandie,1
2015-06-25 02:30:00,Bourgogne,1
2015-06-25 02:30:00,Bretagne,1
2015-06-25 02:30:00,Nord-Pas-de-Calais,2
2015-06-25 02:30:00,Pays de la Loire,2
2015-06-25 02:30:16,le-de-France,1
2015-06-25 02:30:20,Bretagne,1
2015-06-25 02:30:21,Nord-Pas-de-Calais,1
2015-06-25 02:35:00,Bourgogne,1
2015-06-25 02:35:00,Nord-Pas-de-Calais,3
2015-06-25 02:39:00,Nord-Pas-de-Calais,1
2015-06-25 02:40:00,Bretagne,2
2015-06-25 02:40:00,Haute-Normandie,1
2015-06-25 02:45:00,Bourgogne,1
2015-06-25 02:45:00,Bretagne,1
2015-06-25 02:45:00,Nord-Pas-de-Calais,1
2015-06-25 02:45:00,Pays de la Loire,1
2015-06-25 02:45:16,le-de-France,1
2015-06-25 02:45:21,Bretagne,1
2015-06-25 02:45:21,Nord-Pas-de-Calais,1
2015-06-25 02:50:00,Basse-Normandie,1
2015-06-25 02:50:00,Pays de la Loire,2
2015-06-25 02:54:00,Nord-Pas-de-Calais,2
2015-06-25 02:55:00,Basse-Normandie,1
2015-06-25 02:55:00,Bretagne,2
2015-06-25 02:55:00,Nord-Pas-de-Calais,2
2015-06-25 02:56:00,Nord-Pas-de-Calais,2
2015-06-25 02:58:00,Nord-Pas-de-Calais,1
2015-06-25 03:00:00,Auvergne,12
2015-06-25 03:00:00,Bretagne,2
2015-06-25 03:00:00,Centre-Val de Loire,1
2015-06-25 03:00:00,Nord-Pas-de-Calais,4
2015-06-25 03:00:00,Pays de la Loire,2
2015-06-25 03:00:00,Rhone-Alpes,84
2015-06-25 03:00:29,le-de-France,1
2015-06-25 03:00:34,Bretagne,1
2015-06-25 03:00:34,Nord-Pas-de-Calais,1
2015-06-25 03:05:00,Champagne-Ardenne,3
2015-06-25 03:05:00,Nord-Pas-de-Calais,1
2015-06-25 03:05:00,Pays de la Loire,2
2015-06-25 03:07:00,le-de-France,3
2015-06-25 03:07:00,Nord-Pas-de-Calais,2
2015-06-25 03:09:12,Nord-Pas-de-Calais,1
2015-06-25 03:10:00,le-de-France,3
2015-06-25 03:10:00,Bourgogne,1
2015-06-25 03:10:00,Nord-Pas-de-Calais,1
2015-06-25 03:10:00,Pays de la Loire,1
2015-06-25 03:11:00,Nord-Pas-de-Calais,1
2015-06-25 03:14:00,Nord-Pas-de-Calais,2
2015-06-25 03:15:00,Nord-Pas-de-Calais,10
2015-06-25 03:15:00,Pays de la Loire,3
2015-06-25 03:15:16,le-de-France,1
2015-06-25 03:15:20,Bretagne,1
2015-06-25 03:15:21,Nord-Pas-de-Calais,1
2015-06-25 03:19:00,Nord-Pas-de-Calais,1
2015-06-25 03:20:00,Basse-Normandie,2
2015-06-25 03:20:00,Nord-Pas-de-Calais,2
